Lambda1,Lambda2,Lambda3
-0.514353969441199,2.845903407391843,3.013450562049356
-0.5037777597371486,2.8319196374116897,3.036948069041429
-0.4919151141964519,2.8193532128584646,3.0578739917091005
-0.47888308715581757,2.8083756118648693,3.0761218210510934
-0.4647980578381623,2.7990778002440106,3.0916639496206773
-0.4497747591942359,2.7915063307996837,3.104514785625454
-0.43392551386811884,2.78567668590064,3.114716834557825
-0.41735969377355875,2.781579060794862,3.1223345666375573
-0.4001834130547496,2.7791813382658033,3.1274513284961154
-0.3824994559567468,2.778430987181397,3.1301675673255174
-0.36440743175632645,2.7792565909189975,3.1305996529012896
-0.3460041389163342,2.7815693138146003,3.128878970732425
-0.3273841105976233,2.7852644414710386,3.125151121875679
-0.30864030417429383,2.7902230484186985,3.119575137806648
-0.28986488899240753,2.7963138038642676,3.112322653098321
-0.271150079755326,2.8033949027557017,3.103576995316518
-0.25258895797885395,2.8113160963125026,3.0935321596925096
-0.23427622120819522,2.819920789380533,3.0823916401861773
-0.21630879932015046,2.8290481693228138,3.070367090849686
-0.19878627939395274,2.838535331377464,3.0576767933622016
-0.1818110854532167,2.8482193676261116,3.0445439092357764
-0.16548836699507297,2.857939390247745,3.0311944993003017
-0.1499255607679338,2.8675384640349195,3.017855299346741
-0.13523160383805877,2.876865427772005,3.004751249794413
-0.1215157925873727,2.8857765886605184,2.992102789297806
-0.10888630167988901,2.894137278255751,2.9801229373591127
-0.09744839864207398,2.901823262166498,2.969014208870029
-0.08730241247989935,2.908721998955786,2.9589654231366636
-0.07854153713082346,2.914733746218026,2.950148489819857
-0.07124957045681929,2.919772513700213,2.9427152722811556
-0.06549870453046897,2.9237668646209944,2.9367946426278904
-0.06134749073568437,2.926660567085828,2.9324898498208283
-0.058839101685440896,2.928413097777044,2.9298763204537583
-0.05800000000000005,2.9290000000000003,2.9290000000000003
-0.058839101685440896,2.928413097777044,2.9298763204537583
-0.06134749073568437,2.926660567085828,2.9324898498208283
-0.0654987045304691,2.9237668646209944,2.9367946426278904
-0.07124957045681929,2.919772513700213,2.9427152722811556
-0.5538708465114284,2.153193086999416,3.468162947462655
-0.5474929358288938,2.1532504253254197,3.4597834285087745
-0.5398494444137711,2.1526247089885966,3.4505009229670502
-0.5308972107101271,2.150994973916286,3.4406094961122675
-0.5205935506704051,2.148013954798473,3.4304322964515306
-0.508898928082768,2.1433208244634416,3.4203114036322773
-0.4957797854923227,2.1365568486082025,3.4105949115657026
-0.48121150369213,2.127383626320196,3.4016215446892057
-0.4651814702028191,2.1155030393119065,3.3937036652890367
-0.4476922504862742,2.100677461004744,3.387110114954584
-0.4287648685640667,2.082748360571683,3.3820507622239493
-0.4084422147210262,2.061651369895583,3.3786647066771556
-0.3867926051202861,2.0374262747558682,3.3770137035555146
